p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.96034818348328e-24,-0.349966279468737,0.098,0.212,8.83489719332245e-20,CD8-LAYN,SYPL1
1.99339424587845e-24,0.383084646521433,0.586,0.458,8.98382918732501e-20,CD8-LAYN,CKLF
2.40268728604862e-24,0.326054393237649,0.282,0.178,1.08284310607639e-19,CD8-LAYN,GTF2I
2.74230493147873e-24,-0.273725784232352,0.986,0.987,1.23590198651883e-19,CD8-LAYN,BTG1
3.36244038800372e-24,0.2783238574294,0.17,0.089,1.51538463406552e-19,CD8-LAYN,MEF2A
3.7626048588883e-24,0.328196910596962,0.337,0.227,1.69573075780378e-19,CD8-LAYN,LASP1
4.12411256453967e-24,0.279770266449256,0.246,0.147,1.85865505058674e-19,CD8-LAYN,DENND1B
5.18814471420808e-24,0.269559993278408,0.976,0.955,2.3381930597993e-19,CD8-LAYN,MT-ND4
5.77217610245816e-24,-0.399304808005035,0.399,0.529,2.60140432585584e-19,CD8-LAYN,EMP3
1.06831038573997e-23,-0.444002616486642,0.029,0.118,4.8146612464529e-19,CD8-LAYN,RTKN2
1.09129334543581e-23,0.295566058618328,0.233,0.137,4.9182408492101e-19,CD8-LAYN,SGMS1
1.14508075347869e-23,0.325618599758589,0.319,0.211,5.16064993977777e-19,CD8-LAYN,SH3BP1
1.33949014972666e-23,0.351089347633964,0.441,0.327,6.03681420678811e-19,CD8-LAYN,CCDC107
1.773089440948e-23,0.29115992323763,0.2,0.113,7.99095949246443e-19,CD8-LAYN,PLEKHA1
2.20418685048909e-23,0.343824938954999,0.444,0.324,9.93382929778422e-19,CD8-LAYN,BHLHE40
2.84083637368577e-23,-0.352085730316638,0.066,0.168,1.2803081368927e-18,CD8-LAYN,FRMD4B
3.3487912971148e-23,0.293937238942521,0.624,0.504,1.5092332617837e-18,CD8-LAYN,PPP1CA
3.72394707971783e-23,0.309131037822324,0.584,0.468,1.67830846988723e-18,CD8-LAYN,WDR83OS
3.93704102274215e-23,0.263666700837955,0.868,0.809,1.77434564812943e-18,CD8-LAYN,RAC2
4.43548023708047e-23,-0.52630808322685,0.371,0.482,1.99898223324743e-18,CD8-LAYN,CORO1B
5.13448688954475e-23,-0.646844822241108,0.414,0.529,2.31401055138003e-18,CD8-LAYN,FOSB
5.33579251286189e-23,-0.439449659730134,0.811,0.85,2.4047349696966e-18,CD8-LAYN,NFKBIA
5.57871928114938e-23,0.287324812007764,0.302,0.195,2.5142172056284e-18,CD8-LAYN,RUNX2
7.0066139369313e-23,-0.295377437167986,0.049,0.144,3.1577407690962e-18,CD8-LAYN,LDLRAP1
